timestamp,dex,cex
1631280560000,5.8691,5.7620
1631280620000,5.8691,5.7930
1631280650000,5.8738,5.8080
1631280800000,5.8738,5.8250
1631280830000,5.8679,5.8300
1631280860000,5.8679,5.8340
1631280920000,5.8679,5.8130
1631280950000,5.8679,5.8060
1631280980000,5.8854,5.7820
1631281010000,5.8906,5.7640
1631281070000,5.8637,5.7680
1631281100000,5.8696,5.7470
1631281130000,5.8696,5.7440
1631281190000,5.8790,5.7680
1631281220000,5.8521,5.7520
1631281250000,5.8521,5.7480
1631281280000,5.8566,5.7610
1631281310000,5.8299,5.7530
1631281370000,5.8301,5.7390
1631281400000,5.8349,5.7350
1631281580000,5.8352,5.7360
1631282120000,5.8356,5.7420
1631282360000,5.8355,5.7500
1631282420000,5.8355,5.7570
1631282480000,5.8089,5.7540
1631282510000,5.8124,5.6830
1631282540000,5.7860,5.6750
1631282570000,5.7929,5.6910
1631282630000,5.7855,5.7060
1631282660000,5.8311,5.6990
1631282690000,5.8045,5.6800
1631282720000,5.7782,5.6650
1631282750000,5.7520,5.6520
1631282810000,5.7281,5.6340
1631282840000,5.7774,5.6110
1631283060000,5.7512,5.6530
1631283120000,5.7252,5.5820
1631283150000,5.7252,5.5820
1631283180000,5.7252,5.5960
1631283210000,5.7252,5.5900
1631283240000,5.7252,5.5780
1631283270000,5.7266,5.5880
1631283330000,5.7015,5.5820
1631283360000,5.7075,5.5980
1631283390000,5.7075,5.5900
1631283510000,5.7538,5.5930
1631283540000,5.6387,5.6060
1631283570000,5.6476,5.6140
1631283600000,5.6476,5.6250
1631283630000,5.6478,5.6360
1631283660000,5.6979,5.6140
1631283840000,5.6723,5.5960
1631283870000,5.6727,5.5310
1631283960000,5.6472,5.5150
1631283990000,5.6492,5.4970
1631284020000,5.6239,5.4920
1631284050000,5.4936,5.4250
1631284080000,5.4936,5.4680
1631284110000,5.4985,5.4780
1631284140000,5.5122,5.4280
1631284170000,5.5287,5.4440
1631284200000,5.5355,5.4180
1631284230000,5.5109,5.3900
1631284260000,5.5109,5.3610
1631284290000,5.5109,5.3560
1631284320000,5.5122,5.3700
1631284350000,5.4927,5.3490
1631284380000,5.4684,5.3540
1631284410000,5.4759,5.3430
1631284440000,5.4818,5.3280
1631284470000,5.4818,5.3720
